Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
SW12 0AE,No,51.447657,-0.141625,529238,173712,TQ292737,Thornton,"Lambeth, unparished area",01/01/1980,01/02/2014,24,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003161,Lambeth 023E
SW12 0AF,Yes,51.447354,-0.142385,529186,173677,TQ291736,Thornton,"Lambeth, unparished area",01/02/1990,,25,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003161,Lambeth 023E
SW12 0AG,No,51.447535,-0.140737,529300,173700,TQ293737,Thornton,"Lambeth, unparished area",01/01/1980,01/12/1990,26,England,21/11/2020,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01003161,Lambeth 023E
SW12 0AH,Yes,51.448232,-0.139932,529354,173779,TQ293737,Thornton,"Lambeth, unparished area",01/01/1980,,26,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003161,Lambeth 023E
SW12 0AJ,Yes,51.447787,-0.136784,529574,173735,TQ295737,Thornton,"Lambeth, unparished area",01/01/1980,,28,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AL,Yes,51.448196,-0.135947,529631,173782,TQ296737,Thornton,"Lambeth, unparished area",01/01/1980,,30,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AN,Yes,51.447771,-0.135792,529643,173735,TQ296737,Thornton,"Lambeth, unparished area",01/01/1980,,29,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
SW12 0AP,Yes,51.447903,-0.131026,529974,173758,TQ299737,Thornton,"Lambeth, unparished area",01/01/1980,,39,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003162,Lambeth 022E
SW12 0AQ,Yes,51.448505,-0.141259,529261,173807,TQ292738,Thornton,"Lambeth, unparished area",01/01/1980,,24,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003161,Lambeth 023E
SW12 0AR,Yes,51.447553,-0.132865,529847,173716,TQ298737,Thornton,"Lambeth, unparished area",01/01/1980,,34,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003162,Lambeth 022E
SW12 0AS,Yes,51.447417,-0.131647,529932,173703,TQ299737,Thornton,"Lambeth, unparished area",01/01/1980,,37,England,21/11/2020,Within the building of the matched address closest to the postcode mean,E01003163,Lambeth 023F
